Institute Name,State,City,Type,Approved Courses,Entrance Exam,Min Cutoff Marks,Category,Scholarship Available,Application Deadline,Website
IIT Bombay,Maharashtra,Mumbai,Government,B.Tech,JEE Advanced,90,General,Yes,2025-04-20,https://www.iitb.ac.in
VIT Vellore,Tamil Nadu,Vellore,Private,B.Tech,VITEEE,75,OBC,Yes,2025-05-10,https://www.vit.ac.in
NIT Trichy,Tamil Nadu,Trichy,Government,B.Tech,JEE Main,85,SC,Yes,2025-04-25,https://www.nitt.edu
DTU Delhi,Delhi,New Delhi,Government,B.Tech,JEE Main,88,General,Yes,2025-04-18,https://www.dtu.ac.in
Jadavpur University,West Bengal,Kolkata,Government,B.Tech,WBJEE,70,ST,Yes,2025-05-05,https://jaduniv.edu.in
SRM University,Tamil Nadu,Chennai,Private,B.Tech,SRMJEEE,65,General,Yes,2025-05-15,https://www.srmist.edu.in
BITS Pilani,Rajasthan,Pilani,Private,B.E.,BITSAT,85,General,No,2025-05-05,https://www.bits-pilani.ac.in
IIIT Hyderabad,Telangana,Hyderabad,Government,B.Tech,JEE Advanced,92,OBC,Yes,2025-04-22,https://www.iiit.ac.in
Manipal Institute of Technology,Karnataka,Manipal,Private,B.Tech,Manipal Entrance Test,70,General,Yes,2025-05-12,https://manipal.edu
College of Engineering Pune,Maharashtra,Pune,Government,B.Tech,MHT CET,80,OBC,Yes,2025-04-30,https://www.coep.org.in
NSUT Delhi,Delhi,New Delhi,Government,B.Tech,JEE Main,86,General,Yes,2025-04-20,https://nsut.ac.in
Amrita Vishwa Vidyapeetham,Kerala,Coimbatore,Private,B.Tech,AEEE,65,SC,Yes,2025-05-14,https://www.amrita.edu
PSG College of Technology,Tamil Nadu,Coimbatore,Government-Aided,B.E.,TNEA,75,OBC,Yes,2025-05-01,https://www.psgtech.edu
IIEST Shibpur,West Bengal,Howrah,Government,B.Tech,JEE Main,82,General,Yes,2025-04-28,https://www.iiests.ac.in
Lovely Professional University,Punjab,Phagwara,Private,B.Tech,LPU NEST,60,ST,Yes,2025-05-20,https://www.lpu.in
Shiv Nadar University,Uttar Pradesh,Dadri,Private,B.Tech,SNUSAT,68,General,Yes,2025-05-18,https://www.snu.edu.in
Nirma University,Gujarat,Ahmedabad,Private,B.Tech,GUJCET,72,OBC,Yes,2025-05-10,https://www.nirmauni.ac.in
IIITM Gwalior,Madhya Pradesh,Gwalior,Government,B.Tech,JEE Main,83,SC,Yes,2025-04-26,https://www.iiitm.ac.in
Graphic Era University,Uttarakhand,Dehradun,Private,B.Tech,JEE Main,65,ST,Yes,2025-05-16,https://www.geu.ac.in
Chandigarh University,Punjab,Chandigarh,Private,B.Tech,CUCET,60,General,Yes,2025-05-15,https://www.cuchd.in
